price,area,bedrooms,bathrooms,location
Rs 52 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 45 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 37.50 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 50 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 80 Lacs,900 SQFT,2 Beds,2 Baths,"North Karachi, Karachi•"
Rs 42 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 37 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 68 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 45 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 45 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 49.50 Lacs,110 SQYD,0,0,"North Town Residency, Karachi•"
Rs 30 Lacs,120 SQYD,4 Beds,4 Baths,"Scheme 33, Karachi•"
Rs 32 Lacs,120 SQYD,0,0,"North Karachi, Karachi•"
Rs 2.95 Crore,120 SQYD,4 Beds,5 Baths,"Hansa Society, Karachi•"
Rs 3.75 Crore,400 SQYD,6 Beds,7 Baths,"Ahsanabad, Karachi•"
Rs 2 Crore,152 SQYD,3 Beds,3 Baths,"Bahria Town - Precinct 2, Karachi•"
Rs 23.50 Lacs,125 SQYD,0,0,"DHA City - Sector 12, Karachi•"
Rs 3.40 Crore,240 SQYD,3 Beds,3 Baths,"PCSIR Housing Society, Karachi•"
Rs 71 Lacs,990 SQFT,2 Beds,2 Baths,"Bahria Apartments, Karachi•"
Rs 1.60 Crore,865 SQFT,3 Beds,3 Baths,"Scheme 33, Karachi•"
Rs 85 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 65 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 71 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 58 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 50 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,88 SQYD,0,0,"North Town Residency, Karachi•"
Rs 55 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 35 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 68 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 45 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 55 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 35 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 1.35 Crore,"1,100 SQFT",2 Beds,2 Baths,"North Nazimabad - Block K, Karachi•"
Rs 3.30 Crore,"2,500 SQFT",4 Beds,5 Baths,"Metropolis Residency, Karachi•"
Rs 1.20 Crore,"1,600 SQFT",3 Beds,3 Baths,"North Nazimabad - Block H, Karachi•"
Rs 1.35 Crore,"1,150 SQFT",3 Beds,3 Baths,"Gulshan-e-Iqbal - Block 19, Karachi•"
Rs 1.30 Crore,120 SQYD,4 Beds,2 Baths,"Saima Arabian Villas, Karachi•"
Rs 68 Lacs,750 SQFT,2 Beds,2 Baths,"Gulistan-e-Jauhar Block 14, Karachi•"
Rs 2.25 Crore,120 SQYD,3 Beds,3 Baths,"Kehkashan, Karachi•"
Rs 70 Lacs,955 SQFT,2 Beds,2 Baths,"Bahria Apartments, Karachi•"
Rs 1.35 Crore,120 SQYD,2 Beds,2 Baths,"Diamond City, Karachi•"
Rs 48 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 52 Lacs,103 SQYD,0,0,"North Town Residency, Karachi•"
Rs 95 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 85 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 52 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 65 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 60 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 55 Lacs,110 SQYD,0,0,"North Town Residency, Karachi•"
Rs 47 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 56 Lacs,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 36 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 2.10 Crore,160 SQYD,3 Beds,3 Baths,"Saima Arabian Villas, Karachi•"
Rs 46 Lacs,80 SQYD,0,0,"North Town Residency, Karachi•"
Rs 12.50 Crore,616 SQYD,6 Beds,6 Baths,"North Nazimabad - Block C, Karachi•"
Rs 1.35 Crore,120 SQYD,0,0,"North Town Residency, Karachi•"
Rs 10.25 Crore,600 SQYD,6 Beds,7 Baths,"DHA Phase 1, Karachi•"
Rs 49 Lacs,"1,000 SQFT",3 Beds,3 Baths,"North Karachi - Sector 5M, Karachi•"
Rs 1.17 Crore,900 SQFT,2 Beds,2 Baths,"North Nazimabad - Block M, Karachi•"
Rs 12.25 Crore,"3,707 SQFT",Studio,1 Bath,"Emaar Pearl Towers, Karachi•"
