price,area_sqft,bedrooms,bathrooms,location_final
9500000,720,2,2,Other
30000000,1500,3,3,North Nazimabad
31000000,1500,3,3,North Nazimabad
48000000,2100,3,4,North Nazimabad
158500000,3500,4,5,Other
65000000,3300,4,5,Other
47000000,2450,3,4,Other
71000000,2218,3,3,Other
86500000,2703,3,4,Other
48000000,1020,1,1,DHA
21800000,976,2,2,North Nazimabad
29800000,1335,3,3,North Nazimabad
65000000,375,3,3,North Nazimabad
33000000,1600,3,4,North Nazimabad
50000000,2100,3,3,North Nazimabad
31000000,2400,3,3,North Nazimabad
22900000,2160,3,4,Nazimabad
2800000,650,2,2,Surjani Town
8500000,1080,3,3,Gulistan
6500000,1125,3,3,Bahria Town
36000000,1700,3,3,North Nazimabad
33000000,1600,3,3,North Nazimabad
65000000,3233,4,4,Other
36000000,1700,3,4,North Nazimabad
36000000,1750,3,3,North Nazimabad
23500000,1000,2,2,North Nazimabad
65000000,3334,4,5,Other
27000000,1450,3,3,North Nazimabad
35000000,1600,3,4,North Nazimabad
20000000,1800,3,3,North
4500000,650,2,2,Gulshan
1000000,50,3,3,North
13799999,1125,3,3,Bahria Town
7500000,1080,3,2,Gulistan
7500000,1080,3,3,Gulistan
6500000,720,3,3,Gulistan
8000000,1080,3,2,Gulistan
27500000,1500,3,3,Gulshan
5200000,650,2,2,Gulshan
3300000,195,3,3,Other
12400000,900,2,2,DHA
129000000,5400,6,6,DHA
13000000,1100,3,3,Other
27000000,1250,3,4,Other
10000000,1300,3,3,Other
14000000,1080,5,4,Falaknaz Dreams
4500000,1080,3,3,Falaknaz Dreams
63000000,2160,6,7,Gulshan
15500000,1080,3,3,Gulshan
9800000,600,3,3,North
17000000,1080,6,6,North
9500000,3600,3,4,Gulshan
6000000,550,2,2,Other
8500000,750,2,2,Gulshan
4300000,1080,3,3,Malir
5000000,1080,3,3,Garden
12000000,1080,5,4,Falaknaz Dreams
11000000,1080,2,2,Garden
15000000,1080,6,5,Falaknaz Dreams
12000000,120,3,3,Garden
8400000,540,4,3,Falaknaz Dreams
7000000,900,2,2,Other
55000000,2160,6,6,Gulshan
16000000,1600,3,3,Other
78000000,4500,6,6,DHA
39500000,2160,6,7,Gulshan
16000000,1200,2,3,Gulshan
10500000,120,3,3,Other
5600000,1080,3,3,Garden
40000000,1080,4,5,North
32500000,1800,6,6,Gulshan
24500000,2160,3,4,Gulshan
25000000,1800,4,5,Gulshan
11399999,932,2,2,Other
7400000,738,2,2,Other
12500000,1040,2,3,Other
62400000,2400,3,4,Other
19600000,1100,2,2,Other
31000000,1700,3,4,Other
21000000,1600,1,1,Other
26000000,1800,6,7,Gulshan
18000000,1080,4,5,Gulshan
22000000,1080,4,5,Gulshan
8500000,850,2,2,Other
22500000,1305,4,5,Gulshan
40000000,2160,6,7,Gulshan
57500000,2160,6,7,Capital Cooperative Housing Society
38500000,2160,6,7,Gulshan
35000000,2160,6,7,Gulshan
